,id,income
0,50001,26726.71
1,50002,22942.756
2,50003,31811.713
3,50004,22475.47
4,50005,32478.357
5,50006,34500.035
6,50007,20956.572
7,50008,41890.54
8,50009,21760.854
9,50010,48717.258
10,50011,20834.78
11,50012,20677.115
12,50013,56375.87
13,50014,40401.09
14,50015,59765.406
15,50016,23636.893
16,50017,29610.455
17,50018,35201.992
18,50019,24619.81
19,50020,33717.18
20,50021,22971.719
21,50022,42900.21
22,50023,28338.254
23,50024,26849.459
24,50025,18465.895
25,50026,76681.73
26,50027,29805.902
27,50028,24265.344
28,50029,24343.89
29,50030,26560.967
30,50031,18453.36
31,50032,52659.88
32,50033,20795.709
33,50034,20717.982
34,50035,49990.035
35,50036,28271.104
36,50037,33496.246
37,50038,24519.688
38,50039,28119.27
39,50040,22197.64
40,50041,38849.33
41,50042,28654.277
42,50043,21934.73
43,50044,29070.865
44,50045,31497.834
45,50046,29402.273
46,50047,41519.25
47,50048,21935.309
48,50049,21929.197
49,50050,29860.078
50,50051,22138.33
51,50052,45275.867
52,50053,41253.977
53,50054,37924.79
54,50055,45065.27
55,50056,32123.553
56,50057,30613.053
57,50058,20791.807
58,50059,18685.266
59,50060,41217.23
60,50061,42818.066
61,50062,57133.742
62,50063,28102.898
63,50064,26393.418
64,50065,34290.977
65,50066,24797.629
66,50067,65610.52
67,50068,23141.213
68,50069,22479.652
69,50070,28950.527
70,50071,33002.332
71,50072,21918.05
72,50073,19999.445
73,50074,35179.945
74,50075,30567.424
75,50076,29591.021
76,50077,48534.93
77,50078,69888.31
78,50079,37961.203
79,50080,57045.133
80,50081,29615.41
81,50082,24599.871
82,50083,31892.873
83,50084,21929.197
84,50085,29310.592
85,50086,51825.22
86,50087,20732.426
87,50088,46840.863
88,50089,75685.76
89,50090,19358.227
90,50091,19891.791
91,50092,21306.762
92,50093,21357.266
93,50094,27755.041
94,50095,35773.727
95,50096,29996.832
96,50097,22738.342
97,50098,30903.883
98,50099,21939.13
99,50100,30790.469
100,50101,25327.326
101,50102,41060.0
102,50103,25550.873
103,50104,20927.13
104,50105,30604.584
105,50106,35412.91
106,50107,27762.627
107,50108,44653.832
108,50109,45738.93
109,50110,30540.754
110,50111,52288.758
111,50112,23145.045
112,50113,42911.47
113,50114,28894.703
114,50115,60343.016
115,50116,66340.84
116,50117,25521.514
117,50118,24299.873
118,50119,30396.277
119,50120,32896.207
